#1 (str) Fach ID;Gruppen Ids;#2 (str) Fach;MV (nicht Dozent!);Gruppe;;
PML1-G2;5Tec;Produktionsmanagement und Logistik;Spitznagel;WI - 5 TEC 1;;
PML2;7Bio;Produktionsmanagement und Logistik;Meier;WI - 7 BIO;;
PML2;7Tec,7Inf/Tec,7Tec-G2/Inf;Produktionsmanagement und Logistik;Meier;WI - 7 TEC;;
PML2;7Tec-G2/Inf,7Inf/Tec;Produktionsmanagement und Logistik;Meier;WI - 7 INF;;
PML2;6LM;Produktionsmanagement und Logistik;Meier;LM - 6;;
PML2;7AU;Produktionsmanagement und Logistik;Meier;AU - 7;;
PML2-G2;7Tec;Produktionsmanagement und Logistik;Meier;LM - 7;;
PML2-G2;7AU;Produktionsmanagement und Logistik;Meier;AU - 7;;
PP;5Bio/Inf,5Inf/Bio;Projektplanung und Qualitätsmanagement;Schulz;WI - 5 BIO;;
PP;5Bio/Inf,5Inf/Bio;Projektplanung und Qualitätsmanagement;Schulz;WI - 5 INF;;
PP;5Tec;Projektplanung und Qualitätsmanagement;Schulz;WI - 5 TEC 1;;
PP;5LM;Projektplanung und Qualitätsmanagement;Schulz;LM - 5;;
PP-G2;5Tec;Projektplanung und Qualitätsmanagement;Schulz;WI - 5 TEC 1;;
PPQM-Vorl;5Tec;PPQM Vorlesung;Schulz;WI - 5 TEC 1;;
PPQM-Vorl;5Tec-G2/Bio;PPQM Vorlesung;Schulz;WI - 5 TEC 2;;
PPQM-Vorl;5Tec-G2/Bio,5Bio/Tec;PPQM Vorlesung;Schulz;WI - 5 BIO;;
PPQM-Vorl;5Inf;PPQM Vorlesung;Schulz;WI - 5 INF;;
PPQM-Vorl;5LM;PPQM Vorlesung;Schulz;LM - 5;;
PPQM-Vorl;3AU;PPQM Vorlesung;Schulz;AU - 3;;
PPQM-Vorl;7AU;PPQM Vorlesung;Schulz;AU - 7;;
PPQM-Proj;5Tec;PPQM Projekt;Schulz;WI - 5 TEC 1;;
PPQM-Proj;5Tec-G2/Bio;PPQM Projekt;Schulz;WI - 5 TEC 2;;
PPQM-Proj;5Tec-G2/Bio,5Bio/Tec;PPQM Projekt;Schulz;WI - 5 BIO;;
PPQM-Proj;5Inf;PPQM Projekt;Schulz;WI - 5 INF;;
PPQM-Proj;5LM;PPQM Projekt;Schulz;LM - 5;;
PPQM-Proj;3AU;PPQM Projekt;Schulz;AU - 3;;
PPQM-Proj;7AU;PPQM Projekt;Schulz;AU - 7;;
Prod;3Tec;Produktion;Koether;WI - 3 TEC G1;;
Prod;3Tec-G2,3Tec-G2/Inf;Produktion;Koether;WI - 3 TEC G2;;
Prod;3Bio/Inf,3Inf/Bio,3Bio;Produktion;Koether;WI - 3 BIO;;
Prod;3Bio/Inf,3Inf/Bio,3Tec-G2/Inf,3Inf/Tec;Produktion;Koether;WI - 3 INF;;
Prod-G2;;Produktion;Koether;;;
ProdLife;;Product Life Cycle Management;Schoenecker;;;
ProdLife Prak-G1;;Product Life Cycle Management Praktikum;Schoenecker;;;
ProdLife Prak-G2;;Product Life Cycle Management Praktikum;Schoenecker;;;
ProdLife-G1;5Tec,5Tec-G2/Bio;Product Life Cycle Management;Schoenecker;WI - 5 TEC 1;;
ProdLife-G2;5Tec,5Tec-G2/Bio;Product Life Cycle Management;Schoenecker;WI - 5 TEC 2;;
ProdPlan Prak;5LM;Produktionsplanung Praktikum;Meier;LM - 5;;
QM;5Bio/Inf,5Inf/Bio;Projektplanung und Qualitätsmanagement;Schulz;WI - 5 BIO;;
QM;5Bio/Inf,5Inf/Bio;Projektplanung und Qualitätsmanagement;Schulz;WI - 5 INF;;
QM;5Tec;Projektplanung und Qualitätsmanagement;Schulz;WI - 5 TEC 1;;
QM;5LM;Projektplanung und Qualitätsmanagement;Schulz;LM - 5;;
QM-G2;5Tec;Projektplanung und Qualitätsmanagement;Schulz;WI - 5 TEC 1;;
QM-GMP;Export;Qualitätsmanagement in FK06;Deublein;;;
RegTech;3LM;Regelungstechnik;Glas;LM - 3;;
Ressoruceneff. Alu-Druckguss;WPM WI;Ressoruceneff. Alu-Druckguss;Koether;WI - WPM;;
Ressoruceneff. Alu-Druckguss;WPM AU;Ressoruceneff. Alu-Druckguss;Koether;AU - WPM;;
Ressoruceneff. Alu-Druckguss;CIE;Ressoruceneff. Alu-Druckguss;Koether;CIE - CIE;;
RW-Bilanz;WW M1 NW;Rechnungswesen-Bilanzierung;Englbrecht;MBA - 1 ING / NW;;
RW-Bilanz;WW M1 NW-2;Rechnungswesen-Bilanzierung;Englbrecht;MBA - 1 ING / NW;;
RW-Kosten;WW M2 Bau;Rechnungswesen-Kostenrechnung;Krahe;MBA - 2 BAU;;
RW-Kosten;WW M2 NW;Rechnungswesen-Kostenrechnung;Krahe;MBA - 2 ING / NW;;
RW-Kosten-G2;WW M2 NW;Rechnungswesen-Kostenrechnung;Krahe;MBA - 2 ING / NW;;
SchlQual;;Schluesselqualifikationen;Kuhn;;;
SchlQual-G1;6Tec;Schluesselqualifikationen;Kuhn;WI - 6 TEC;;
SchlQual-G1;6Inf/Bio,6Bio/Inf;Schluesselqualifikationen;Kuhn;WI - 6 BIO;;
SchlQual-G1;6Inf/Bio,6Bio/Inf;Schluesselqualifikationen;Kuhn;WI - 6 INF;;
SchlQual-G2;6Tec;Schluesselqualifikationen;Kuhn;WI - 6 TEC;;
SchlQual-G2;6Inf/Bio,6Bio/Inf;Schluesselqualifikationen;Kuhn;WI - 6 BIO;;
SchlQual-G2;6Inf/Bio,6Bio/Inf;Schluesselqualifikationen;Kuhn;WI - 6 INF;;
SchlQual-G3;;Schluesselqualifikationen;Kuhn;;;
SCM;7LM;Supply Chain Management;Rieger;LM - 7;;
SCM MA;WI M2;Supply Chain Management;Meier;WIM - 2 A;;
SCM MA;WW M5;Supply Chain Management;Meier;MBA - 5 BAU;;
SCM MA;WW M5;Supply Chain Management;Meier;MBA - 5 ING / NW;;
SCM MA;WW M5;Supply Chain Management;Meier;MBA - 5 WI;;
Sens;4Tec,4Inf/Tec;Sensorik;Mauerer;WI - 4 TEC 1;;
Sens;4Tec-G2,4Tec-G2/Inf;Sensorik;Mauerer;WI - 4 TEC 2;;
Sens;4Bio/Inf,4Inf/Bio,4Bio;Sensorik;Mauerer;WI - 4 BIO;;
Sens;4Bio/Inf,4Inf/Bio,4Tec-G2/Inf,4Inf/Tec;Sensorik;Mauerer;WI - 4 INF;;
Sens Prak;;Sensorik Praktikum;Mauerer;;;
ServManag;6AU;Service Management;Koether;AU - 6;;
SoftIng1;3Inf/Bio,3Inf/Tec;Software Engineering 1;Hinz;WI - 3 INF;;
SoftIng2;4Inf/Bio,4Inf/Tec;Software Engineering 2;Schoenecker;WI - 4 INF;;
SoftIng2;5Inf/Bio;Software Engineering 2;Schoenecker;WI - 5 INF;;
Soft-Log1;4LM;Softwaresysteme der Logistik (1);Rieger;LM - 4;;
Soft-Log2;6LM;Softwaresysteme der Logistik (2);Rieger;LM - 6;;
Stat;3LM;Statistik;Stumpp;LM - 3;;
Steuer;WI M2;Betriebswirtschaftliche Steuerlehre;Ruehlemann;WIM - 2 A;;
Steuer;WW M1 WI;Betriebswirtschaftliche Steuerlehre;Ruehlemann;MBA - 1 WI;;
Tech Umw;3Bio/Inf,3Inf/Bio,3Bio;Technischer Umweltschutz;Trebesius;WI - 3 BIO;;
TM;1A;Technische Mechanik;Anzinger;WI - 1 A;;
TM;1B;Technische Mechanik;Anzinger;WI - 1 B;;
TM;1C;Technische Mechanik;Anzinger;WI - 1 C;;
TM;1LM;Technische Mechanik;Anzinger;LM - 1;;
TM;1AU;Technische Mechanik;Anzinger;AU - 1;;
TPM Vertrieb;WI M1;Technisches Produktmanagement und internationaler Vertrieb;Gabrysch;WIM - 1 A;;
TPM Vertrieb;WI M1 G2;Technisches Produktmanagement und internationaler Vertrieb;Gabrysch;WIM - 1 B;;
TPM Vertrieb;CIE;Technisches Produktmanagement und internationaler Vertrieb;Gabrysch;CIE - CIE;;
TPM Vertrieb-G2;WI M1;Technisches Produktmanagement und internationaler Vertrieb;Gabrysch;WIM - 1 A;;
TPM Vertrieb-G2;WW M2 WI;Technisches Produktmanagement und internationaler Vertrieb;Gabrysch;MBA - 2 WI;;
TZ-G1;1A;Technisches Zeichnen;Schulz;WI - 1 A;;
TZ-G2;1A;Technisches Zeichnen;Schulz;WI - 1 A;;
TZ-G3;1A;Technisches Zeichnen;Schulz;WI - 1 A;;
TZ-G1;1B;Technisches Zeichnen;Schulz;WI - 1 B;;
TZ-G2;1B;Technisches Zeichnen;Schulz;WI - 1 B;;
TZ-G3;1B;Technisches Zeichnen;Schulz;WI - 1 B;;
TZ-G1;1C;Technisches Zeichnen;Schulz;WI - 1 C;;
TZ-G2;1C;Technisches Zeichnen;Schulz;WI - 1 C;;
TZ-G3;1C;Technisches Zeichnen;Schulz;WI - 1 C;;
TZ-G1;1LM;Technisches Zeichnen;Schulz;LM - 1;;
TZ-G2;1LM;Technisches Zeichnen;Schulz;LM - 1;;
TZ-G3;1LM;Technisches Zeichnen;Schulz;LM - 1;;
TZ-G1;1AU;Technisches Zeichnen;Schulz;AU - 1;;
TZ-G2;1AU;Technisches Zeichnen;Schulz;AU - 1;;
TZ-G3;1AU;Technisches Zeichnen;Schulz;AU - 1;;
UPO;5Tec;Unternehmensplanung und Organisation;Metze;WI - 5 TEC 1;;
UPO;5Tec-G2/Bio,5Bio/Tec;Unternehmensplanung und Organisation;Metze;WI - 5 TEC 2;;
UPO;5Bio/Inf,5Inf/Bio,5Bio/Tec;Unternehmensplanung und Organisation;Metze;WI - 5 BIO;;
UPO;5Bio/Inf,5Inf/Bio,5Inf;Unternehmensplanung und Organisation;Metze;WI - 5 INF;;
UPO MA;WW M4 NW;Unternehmensplanung und Organisation;Metze;MBA - 4 ING / NW;;
UPO-G2;5Bio/Inf,5Inf/Bio;Unternehmensplanung und Organisation;Metze;WI - 5 BIO;;
UPO-G2;5Bio/Inf,5Inf/Bio;Unternehmensplanung und Organisation;Metze;WI - 5 INF;;
UPO-G2;5AU;Unternehmensplanung und Organisation;Metze;AU - 5;;
UORecht MA;WW M4 NW,WW M4 Bau;Unternehmensorganisationsrecht;Wilrich;MBA - 4 ING / NW;;
UORecht MA;WW M2 WI;Unternehmensorganisationsrecht;Wilrich;MBA - 2 WI;;
UORecht MA;WI M3;Unternehmensorganisationsrecht;Wilrich;WIM - 3 A;;
VerbrMotor;4AU;Verbrennungsmotoren;FK03 (Doll);AU - 4;;
VersPlan;;Statistische Versuchsplanung;Abel;;;
VUT;3Tec;Verfahrens- und Umwelttechnik;Deublein;WI - 3 TEC G1;;
VUT;3Tec-G2,3Tec-G2/Inf;Verfahrens- und Umwelttechnik;Deublein;WI - 3 TEC G2;;
VWL;2A;Volkswirtschaftslehre;Wolf;WI - 2 A;;
VWL;2B;Volkswirtschaftslehre;Wolf;WI - 2 B;;
VWL;2C;Volkswirtschaftslehre;Wolf;WI - 2 C;;
VWL;2LM;Volkswirtschaftslehre;Wolf;LM - 2;;
VWL;2AU;Volkswirtschaftslehre;Wolf;AU - 2;;
VWL MA;WW M1 NW;Volkswirtschaftlehre;Wolf;MBA - 1 ING / NW;;
VWL MA;WW M1 NW-2;Volkswirtschaftlehre;Wolf;MBA - 1 ING / NW;;
Werkstoffe;1A;Werkstoffe;Raber;WI - 1 A;;
Werkstoffe;1B;Werkstoffe;Raber;WI - 1 B;;
Werkstoffe;1C;Werkstoffe;Raber;WI - 1 C;;
Werkstoffe;1LM;Werkstoffe;Raber;LM - 1;;
Werkstoffe;1AU;Werkstoffe;Raber;AU - 1;;
WiPo;WI M1;VWLund Wirtschaftspolitik;Wolf;WIM - 1 A;;
WiPo;WI M1 G2;VWLund Wirtschaftspolitik;Wolf;WIM - 1 B;;
WiPo;WW M3;VWLund Wirtschaftspolitik;Wolf;MBA - 3 BAU;;
WiPo;WW M3;VWLund Wirtschaftspolitik;Wolf;MBA - 3 ING / NW;;
WiPo;WW M3;VWLund Wirtschaftspolitik;Wolf;MBA - 3 WI;;
WiP-Recht;3LM;Wirtschaftsprivatrecht;Wilrich;LM - 3;;
WiP-Recht;7Bio;Wirtschaftsprivatrecht;Wilrich;WI - 7 BIO;;
WiP-Recht;7Inf/Tec,7Tec-G2/Inf;Wirtschaftsprivatrecht;Wilrich;WI - 7 INF;;
WiP-Recht;7Inf/Tec,7Tec-G2/Inf,7Tec;Wirtschaftsprivatrecht;Wilrich;WI - 7 TEC;;
WiP-Recht MA;WW M2 NW;Wirtschaftsprivatrecht;Wilrich;MBA - 2 ING / NW;;
WiP-Recht MA-G2;WW M2 NW;Wirtschaftsprivatrecht;Wilrich;MBA - 2 ING / NW;;
WisProj;6Tec;Wissenschaftliche Projektarbeit;Kurz;WI - 6 TEC;;
WisProj;6AU;Wissenschaftliche Projektarbeit;Kurz;AU - 6;;
WisProj;6Inf/Bio,6Bio/Inf;Wissenschaftliche Projektarbeit;Kurz;WI - 6 INF;;
WisProj;6Inf/Bio,6Bio/Inf;Wissenschaftliche Projektarbeit;Kurz;WI - 6 BIO;;
WisProj-G1;6Tec;Wissenschaftliche Projektarbeit;Kurz;WI - 6 TEC;;
WisProj-G2;6Tec;Wissenschaftliche Projektarbeit;Kurz;WI - 6 TEC;;
WM MasterEffect;WPM WW-M;Master Effectiveness;Puchan;MBA -  WPM;;
WM VorbFrankr;;Vorbereitungskurs Frankreich;Kuhn;;;
WPM Aero;WPM WI;Aerodynamic Principles for Automotive Design;Rebhan;WI - WPM;;
WPM Aero;WPM AU;Aerodynamic Principles for Automotive Design;Rebhan;AU - WPM;;
WPM Aero;WPM LM;Aerodynamic Principles for Automotive Design;Rebhan;LM - WPM;;
WPM Aero;CIE;Aerodynamic Principles for Automotive Design;Rebhan;CIE - CIE;;
WPM Arbeitswirt;WPM WW-M;Arbeitswirtschaft im Industrial Engineering;Brombach;MBA - WPM;;
WPM Arbeitswirt;WPM WI-M;Arbeitswirtschaft im Industrial Engineering;Brombach;WIM - WPM;;
WPM AutoProdEntw;WPM WI;Projektarbeit Automotive Produktentwicklung;Sauer;WI - WPM;;
WPM AutoProdEntw;WPM AU;Projektarbeit Automotive Produktentwicklung;Sauer;AU - WPM;;
WPM Bord Cult;WPM WI-M;Management across Border and Cultures;Doehl;WIM - WPM;;
WPM Bord Cult;WPM WW-M;Management across Border and Cultures;Doehl;MBA - WPM;;
WPM Bord Cult;CIE;Management across Border and Cultures;Doehl;CIE - CIE;;
WPM Brand Code;;The Branding Code  - Key success factor of strong brands;Doehl;;;
WPM Build Career;WPM WI;WPM Build Career;Schick;WI - WPM;;
WPM Build Career;WPM AU;WPM Build Career;Schick;AU - WPM;;
WPM Build Career;WPM LM;WPM Build Career;Schick;LM - WPM;;
WPM BusSoft;WPM WW-M;Business Software;Metze;MBA -  WPM;;
WPM BusSoft;WPM WI-M;Business Software;Metze;WIM -  WPM;;
WPM BWL Cont Bau;WPM WW-M;Spezielle BWL und betriebliches Controlling im Bauwesen;FK02 (Clausen);MBA -  WPM;;
WPM CATIA 1;WPM AU;CATIA;Koether;AU - WPM;;
WPM CATIA 2;WPM AU;CATIA 2;Koether;AU - WPM;;
WPM ChangeMgt;WPM WI;Change Management;Doehl;WI - WPM;;
WPM ChangeMgt;WPM AU;Change Management;Doehl;AU - WPM;;
WPM ChangeMgt;WPM LM;Change Management;Doehl;LM - WPM;;
WPM ChangeMgt;CIE;Change Management;Doehl;CIE - CIE;;
WPM ChangeMgt-G2;;Change Management;Doehl;;;
WPM CM Führung;WPM WW-M;Change Management für Führungskräfte;Osterchrist;MBA -  WPM;;
WPM CM Führung;WPM WI-M;Change Management für Führungskräfte;Osterchrist;WIM -  WPM;;
WPM ConsSkills;WPM WI;Consulting Skills;Osterchrist;WI - WPM;;
WPM ConsSkills;WPM AU;Consulting Skills;Osterchrist;AU - WPM;;
WPM ConsSkills;WPM LM;Consulting Skills;Osterchrist;LM - WPM;;
WPM ConsSkills;CIE;Consulting Skills;Osterchrist;CIE - CIE;;
WPM CreatBrand;;Marketing Project: Creating a Brand;Doehl;;;
WPM CreateAdvant;WPM WI;Create Sustainable Competetive Advantages;Doehl;WI - WPM;;
WPM CreateAdvant;WPM AU;Create Sustainable Competetive Advantages;Doehl;AU - WPM;;
WPM CreateAdvant;WPM LM;Create Sustainable Competetive Advantages;Doehl;LM - WPM;;
WPM CreateAdvant;CIE;Create Sustainable Competetive Advantages;Doehl;CIE - CIE;;
WPM Decision;WPM WI;Management Decision Making Supported by Data Analysis;Mauerer;WI - WPM;;
WPM Decision;WPM AU;Management Decision Making Supported by Data Analysis;Mauerer;AU - WPM;;
WPM Decision;WPM LM;Management Decision Making Supported by Data Analysis;Mauerer;LM - WPM;;
WPM Decision;CIE;Management Decision Making Supported by Data Analysis;Mauerer;CIE - CIE;;
WPM E-Business;WPM WI;E-Business;Rebhan;WI - WPM;;
WPM E-Business;WPM AU;E-Business;Rebhan;AU - WPM;;
WPM E-Business;WPM LM;E-Business;Rebhan;LM - WPM;;
WPM E-Business;CIE;E-Business;Rebhan;CIE - CIE;;
WPM Einkauf;WPM WW-M;Einkauf;Meier;MBA - WPM;;
WPM Einkauf;WPM WI-M;Einkauf;Meier;WIM - WPM;;
WPM Engl Hi Plus;WPM WW-M;English Hi plus;Meier-Fohrbeck;MBA - WPM;;
WPM Engl Hi Plus;WPM WI-M;English Hi plus;Meier-Fohrbeck;WIM - WPM;;
WPM Engl Hi2 Plus;;Business English High2 (HI PLUS);Meier-Fohrbeck;;;
WPM Entrepren;WPM WI;Entreprenieurship;Gillig;WI - WPM;;
WPM Entrepren;WPM AU;Entreprenieurship;Gillig;AU - WPM;;
WPM Entrepren;WPM LM;Entreprenieurship;Gillig;LM - WPM;;
WPM Entrepren;CIE;Entreprenieurship;Gillig;CIE - CIE;;
WPM Entrepren;WPM WI-M;Entreprenieurship;Gillig;WIM - WPM;;
WPM Entrepren;WPM WW-M;Entreprenieurship;Gillig;MBA - WPM;;
WPM Entscheid;WPM WI-M;Entscheidungsverhalten;Sachenbacher;WIM - WPM;;
WPM I&O Logistics;WPM WI;WPM I&O Logistics;Koether;WI - WPM;;
WPM I&O Logistics;WPM AU;WPM I&O Logistics;Koether;AU - WPM;;
WPM SAP ERP;WPM WI;ERP Basiswissen;Metze;WI - WPM;;
WPM SAP ERP;WPM AU;ERP Basiswissen;Metze;AU - WPM;;
WPM ERP-b;;ERP Basiswissen;Metze;;;
WPM Foerder;WPM AU;Foerdertechnik;Koether;AU - WPM;;
WPM FrenchGermStrat;WPM WI-M;French/German Strategy Seminar;Doehl;WIM - WPM;;
WPM FrenchGermStrat;CIE;French/German Strategy Seminar;Doehl;CIE - CIE;;
WPM FS Franz LMAU;WPM LM;Fachsprache Französisch;Kuhn;LM - WPM;;
WPM FS Franz LMAU;WPM AU;Fachsprache Französisch;Kuhn;AU - WPM;;
WPM FS Franz MA;WPM WI-M;Fachsprache Franzoesisch;Kuhn;WIM - WPM;;
WPM Geschäftsidee;WPM WI;WPM Geschäftsidee;Gillig;WI - WPM;;
WPM Geschäftsidee;WPM AU;WPM Geschäftsidee;Gillig;AU - WPM;;
WPM Geschäftsidee;WPM LM;WPM Geschäftsidee;Gillig;LM - WPM;;
WPM GeschPrMgt;WPM WI;Geschaeftsprozessmanagement;Puchan;WI - WPM;;
WPM GeschPrMgt;WPM AU;Geschaeftsprozessmanagement;Puchan;AU - WPM;;
WPM GreenLog;WPM WI-M;Green Logistics and Sustainability;Däubel;WIM - WPM;;
WPM GreenLog;WPM WW-M;Green Logistics and Sustainability;Däubel;MBA - WPM;;
WPM GreenLog;CIE;Green Logistics and Sustainability;Däubel;CIE - CIE;;
WPM I&O Logistics;;Inbound and outbound logistics;Koether;;;
WPM ICM-Lead MA;WPM WI-M;Intercultural Management + Leadership;Doehl;WIM - WPM;;
WPM ICM-Lead MA;WPM WW-M;Intercultural Management + Leadership;Doehl;MBA - WPM;;
WPM InterProjManag;WPM WI-M;International Projekt Management;Doehl;WIM - WPM;;
WPM InterProjManag;WPM WW-M;International Projekt Management;Doehl;MBA - WPM;;
WPM InterProjManag;CIE;International Projekt Management;Doehl;CIE - CIE;;
WPM IntMark&Brand;WPM WI-M;International Marketing and Global Branding;Doehl;WIM -  WPM;;
WPM IntMark&Brand;CIE;International Marketing and Global Branding;Doehl;CIE - CIE;;
WPM IntMark-G1;;International Marketing;Doehl;;;
WPM IntMark-G2;;International Marketing;Doehl;;;
WPM Kfz-Schäden;WPM AU;Kfz-Schäden und Bewertungen I;FK03 (Bäumler);AU - WPM;;
WPM KontrLog;WPM WI;Kontraktlogistik;Meier;WI - WPM;;
WPM KontrLog;WPM LM;Kontraktlogistik;Meier;LM - WPM;;
WPM KontrLog;WPM AU;Kontraktlogistik;Meier;AU - WPM;;
WPM KostenMgt;WPM WI;Kostenmanagement aus technischer und betriebswirtschaftlicher Sicht;Krahe;WI - WPM;;
WPM Laser;WPM WI;LASER-Technik;Hoffmann;WI - WPM;;
WPM Lead;CIE;Leadership;Doehl;CIE - CIE;;
WPM Leader-CIE;CIE;Leadership;Doehl;CIE - CIE;;
WPM Lean;;Lean Management and Lean Administration;Rieger;;;
WPM Lean-G1;WPM WI-M;Lean Management and Lean Administration;Rieger;WIM - WPM;;
WPM Lean-G1;WPM WW-M;Lean Management and Lean Administration;Rieger;MBA - WPM;;
WPM Lean-G1;CIE;Lean Management and Lean Administration;Rieger;CIE - CIE;;
WPM Lean-G2;WPM WI-M;Lean Management and Lean Administration;Rieger;WIM - WPM;;
WPM Lean-G2;WPM WW-M;Lean Management and Lean Administration;Rieger;MBA - WPM;;
WPM Lean-G2;CIE;Lean Management and Lean Administration;Rieger;CIE - CIE;;
WPM Lean-G3;;Lean Management and Lean Administration;Rieger;;;
WPM MarkPraxis;WPM WI;WPM MarkPraxis;Gabrysch;WI - WPM;;
WPM MarkPraxis;WPM AU;WPM MarkPraxis;Gabrysch;AU - WPM;;
WPM MarkPraxis;WPM LM;WPM MarkPraxis;Gabrysch;LM - WPM;;
WPM MarkPraxis;CIE;WPM MarkPraxis;Gabrysch;CIE - CIE;;
WPM MarkProj;WPM WI;Marketing Project;Gabrysch;WI - WPM;;
WPM MarkProj;WPM AU;Marketing Project;Gabrysch;AU - WPM;;
WPM MarkProj;WPM LM;Marketing Project;Gabrysch;LM - WPM;;
WPM MarkProj;CIE;Marketing Project;Gabrysch;CIE - CIE;;
WPM MATLAB;WPM WI;Simulation Technology with MATLAB/SIMULINK;Stumpp;WI - WPM;;
WPM MATLAB;WPM AU;Simulation Technology with MATLAB/SIMULINK;Stumpp;AU - WPM;;
WPM MATLAB;WPM LM;Simulation Technology with MATLAB/SIMULINK;Stumpp;LM - WPM;;
WPM MATLAB;CIE;Simulation Technology with MATLAB/SIMULINK;Stumpp;CIE - CIE;;
WPM MgtBordCult;;Management Across Border and Cultures;Doehl;;;
WPM MTM;;Methods Time Measurement;Kurz;;;
WPM NachEntw;WPM WI;Planspiel Nachhaltige Entwicklung;Simon;WI - WPM;;
WPM NachEntw;WPM AU;Planspiel Nachhaltige Entwicklung;Simon;AU - WPM;;
WPM NachEntw;WPM LM;Planspiel Nachhaltige Entwicklung;Simon;LM - WPM;;
WPM NaWi;WPM WI-M;Nachhaltiges Wirtschaften;Simon;WIM - WPM;;
WPM NaWi;WPM WW-M;Nachhaltiges Wirtschaften;Simon;MBA - WPM;;
WPM OR;;Operations Research;Abel;;;
WPM PlanProd;WPM WI;Planung und Realisierung von Produktionslinien;Sauer;WI - WPM;;
WPM PlanProd;WPM AU;Planung und Realisierung von Produktionslinien;Sauer;AU - WPM;;
WPM ProdErgo;WPM WI;Produktergonomie;Brombach;WI - WPM;;
WPM ProdErgo;WPM AU;Produktergonomie;Brombach;AU - WPM;;
WPM ProdErgo;WPM LM;Produktergonomie;Brombach;LM - WPM;;
WPM ProdErgo;CIE;Produktergonomie;Brombach;CIE - CIE;;
WPM ProdTechRecht;;Produkt- und Technikrecht;Wilrich;;;
WPM ProjPartnerAbroad;WPM WI-M;WPM ProjPartnerAbroad;Doehl;WIM - WPM;;
WPM ProjPartnerAbroad;CIE;WPM ProjPartnerAbroad;Doehl;CIE - CIE;;
WPM Rating;WPM WI-M;Rating und Unternehmensbewertung;Englbrecht;WIM - WPM;;
WPM Rating;WPM WW-M;Rating und Unternehmensbewertung;Englbrecht;MBA - WPM;;
WPM RiskMan;WPM WI-M;Risikomanagement;Krahe;WIM - WPM;;
WPM RiskMan;WPM WW-M;Risikomanagement;Krahe;MBA - WPM;;
WPM Six Sigma;WPM WI;Lean Six Sigma Foundation;Doehl;WI - WPM;;
WPM Six Sigma;WPM AU;Lean Six Sigma Foundation;Doehl;AU - WPM;;
WPM Six Sigma;WPM LM;Lean Six Sigma Foundation;Doehl;LM - WPM;;
WPM Six Sigma;CIE;Lean Six Sigma Foundation;Doehl;CIE - CIE;;
WPM Soft-Log1 WI;WPM WI;Softwaresysteme der Logistik (1);Rieger;WI - WPM;;
WPM Soft-Log2 WI;;Softwaresysteme der Logistik (2);Rieger;;;
WPM Softskills2;WPM WI-M;Softskills;Puchan;WIM - WPM;;
WPM Softskills2;WPM WW-M;Softskills;Puchan;MBA - WPM;;
WPM Softskills2-G2;WPM WI-M;Softskills;Puchan;WIM - WPM;;
WPM Softskills2-G2;WPM WW-M;Softskills;Puchan;MBA - WPM;;
WPM Softskills1-a;WPM WI-M;Softskills 1-a Business Etikette;Puchan;WIM - WPM;;
WPM Softskills1-a;WPM WW-M;Softskills 1-a Business Etikette;Puchan;MBA - WPM;;
WPM Softskills1-a-G1;;Softskills1-a Business Etikette;Puchan;;;
WPM Softskills1-a-G2;;Softskills1-a Business Etikette;Puchan;;;
WPM Softskills1-b;WPM WI-M;Softskills1-b Umgang mit schwierigen Situationen;Puchan;WIM - WPM;;
WPM Softskills1-b;WPM WW-M;Softskills1-b Umgang mit schwierigen Situationen;Puchan;MBA - WPM;;
WPM Softskills1-c;WPM WI-M;Softskills1-c Mitarbeiter-Recruitierung;Puchan;WIM - WPM;;
WPM Softskills1-c;WPM WW-M;Softskills1-c Mitarbeiter-Recruitierung;Puchan;MBA - WPM;;
WPM Softskills2-a;WPM WI-M;Softskills2-a Grundlagen der Kommunikation;Puchan;WIM - WPM;;
WPM Softskills2-a;WPM WW-M;Softskills2-a Grundlagen der Kommunikation;Puchan;MBA - WPM;;
WPM Softskills2-a-G2;WPM WI-M;Softskills2-a Grundlagen der Kommunikation;Puchan;WIM - WPM;;
WPM Softskills2-a-G2;WPM WW-M;Softskills2-a Grundlagen der Kommunikation;Puchan;MBA - WPM;;
WPM Softskills2-b;WPM WI-M;Softskills2-b Grundlagen der Mediation;Puchan;WIM - WPM;;
WPM Softskills2-b;WPM WW-M;Softskills2-b Grundlagen der Mediation;Puchan;MBA - WPM;;
WPM Softskills2-b-G2;WPM WI-M;Softskills2-b Grundlagen der Mediation;Puchan;WIM - WPM;;
WPM Softskills2-b-G2;WPM WW-M;Softskills2-b Grundlagen der Mediation;Puchan;MBA - WPM;;
WPM Softskills2-c;WPM WI-M;Softskills2-c Grundlagen der Unternehmensethik;Puchan;WIM - WPM;;
WPM Softskills2-c;WPM WW-M;Softskills2-c Grundlagen der Unternehmensethik;Puchan;MBA - WPM;;
WPM Softskills2-c-G2;WPM WI-M;Softskills2-c Grundlagen der Unternehmensethik;Puchan;WIM - WPM;;
WPM Softskills2-c-G2;WPM WW-M;Softskills2-c Grundlagen der Unternehmensethik;Puchan;MBA - WPM;;
WPM StratManag;WPM WI-M;Praxis des strategischen Managements;Englberger;WIM - WPM;;
WPM StratManag;WPM WW-M;Praxis des strategischen Managements;Englberger;MBA - WPM;;
