746,2,2,2,"6Tec","KUR","WisProj","3.098",,69,2.00000,,,,"20150316","20150715",0.00360,,,"3.098",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,
742,2,2,2,"6Tec","BRB","WisProj-G2","3.098",,69,2.00000,,,,"20150316","20150715",0.00360,,,"3.098",,,,"aBn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,
12,3,3,3,"WW M2 NW","ROE","RW-Kosten","1.084",,40,3.00000,,,,"20150316","20150715",0.00540,"SS",,"1.084",,,,"aBn",,,,,,3,,,,0,0,,0,0,,300000,3.00000,,,,
12,3,3,0,"WW M2 Bau","ROE","RW-Kosten","1.084",,40,3.00000,,,,"20150316","20150715",0.00540,"SS",,"1.084",,,,"aBn",,,,,,3,,,,0,0,,0,0,,300000,3.00000,,,,
14,4,4,4,"2A","BRE","Mathe2","0.055",,69,4.00000,,,,"20150316","20150715",0.00720,,,"0.055",,,,"aBn",,,,2,2,,,,,0,0,,,,,400000,4.00000,,,,
15,4,4,4,"2A","MEN","Physik","0.055",,69,4.00000,,,,"20150316","20150715",0.00720,,,"0.055",,,,"aBn",,,,1,2,,,,,0,0,,,,,400000,4.00000,,,,
16,4,4,4,"2A","RAB","WT","0.055",,69,4.00000,,,,"20150316","20150715",0.00720,,,"0.055",,,,"aBn",,,,2,2,,,,,0,0,,,,,400000,4.00000,,,,
17,4,4,4,"2A","PIR","ETech","0.055",,69,4.00000,,,,"20150316","20150715",0.00720,,,"0.055",,,,"aBn",,,,2,2,,,,,0,0,,,,,400000,4.00000,,,,
18,4,4,4,"2A","MST","ME1","0.055",,69,4.00000,,,,"20150316","20150715",0.00720,,,"0.055",,,,"aBn",,,,2,2,,,,,0,0,,,,,400000,4.00000,,,,
19,4,4,4,"2A","ENB","BuBi","0.055",,69,4.00000,,,,"20150316","20150715",0.00720,,,"0.055",,,,"aBn",,,,1,2,4,,,,0,0,,0,0,,400000,4.00000,,,,
20,4,4,4,"2A","WOL","VWL","0.055",,69,4.00000,,,,"20150316","20150715",0.00720,,,"0.055",,,,"aBn",,,,1,2,,,,,0,0,,,,,400000,4.00000,,,,
25,1,1,1,"1B","RAB","Werkstoffe","0.055",,50,1.00000,,,,"20150316","20150715",0.00180,,,"0.055",,,,"aBn",,,,1,1,,,,,0,0,,,,,100000,1.00000,,,,
21,4,4,4,"1B","VOEL","Mathe1 Vorl","0.055",,50,4.00000,,,,"20150316","20150715",0.00720,,,"0.055",,,,"aBn",,,,1,2,,,,,0,0,,,,,400000,4.00000,,,,
22,2,2,2,"1B","VOEL","MatheÜB-G1","1.084",,50,2.00000,,,,"20150316","20150715",0.00360,,,"0.055",,,,"aBnR",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,
23,2,2,2,"1B","VOEL","MatheÜB-G2","1.084",,50,2.00000,,,,"20150316","20150715",0.00360,,,"0.055",,,,"aBnR",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,
