1013,1,1,1,"3A","BLU","072-BGB","LE008",,0,1.00000,,,,"20161003","20170107",0.00140,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,
423,0,0,0,"3A","BLU","072INT","LO101",,0,0.00000,,,,"20161003","20170107",0.00000,,,,,,,"aBn",,,,,,,,,,0,0,,,,,0,0.00000,,,,
423,0,0,0,"3B","BLU","072INT","LO101",,0,0.00000,,,,"20161003","20170107",0.00000,,,,,,,"aBn",,,,,,,,,,0,0,,,,,0,0.00000,,,,
423,0,0,0,"3C","BLU","072INT","LO101",,0,0.00000,,,,"20161003","20170107",0.00000,,,,,,,"aBn",,,,,,,,,,0,0,,,,,0,0.00000,,,,
423,0,0,0,"3D","BLU","072INT","LO101",,0,0.00000,,,,"20161003","20170107",0.00000,,,,,,,"aBn",,,,,,,,,,0,0,,,,,0,0.00000,,,,
83,1,1,1,"3A","HUA","072_AR","LO101",,0,1.00000,,,,"20161003","20170107",0.00140,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,
395,2,2,2,"3A","BRZ","032","LE003",,0,2.00000,,,,"20161003","20170107",0.00280,,,,,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,
461,1,1,1,"3B","SRL","044U","LO305",,0,1.00000,,,,"20161003","20170107",0.00140,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,
465,1,1,1,"3B","KIE","044E","LE003",,0,1.00000,,,,"20161003","20170107",0.00140,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,
86,2,2,2,"3B","KLU","032","LE003",,0,2.00000,,,,"20161003","20170107",0.00280,,,,,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,
92,2,2,2,"3B","ENK","052","LO203",,0,2.00000,,,,"20161003","20170107",0.00280,,,,,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,
96,1,1,1,"3B","LAR","072_AR","LO101",,0,1.00000,,,,"20161003","20170107",0.00140,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,
104,1,1,1,"3C","SRL","044U","LO305",,0,1.00000,,,,"20161003","20170107",0.00140,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,
203,1,1,1,"3B","VOL","072-BGB","LE001",,0,1.00000,,,,"20161003","20170107",0.00140,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,
110,1,1,1,"3C","HUN","072_AR","LE003",,0,1.00000,,,,"20161003","20170107",0.00140,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,
205,1,1,1,"3C","VOL","072-BGB","LE002",,0,1.00000,,,,"20161003","20170107",0.00140,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,
124,1,1,1,"3D","HLT","072_AR","LE002",,0,1.00000,,,,"20161003","20170107",0.00140,,,,,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,
135,2,2,2,"BF","HAE","205","LO107",,0,2.00000,,,,"20161003","20170107",0.00280,,,,,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,
